ADM1_EN,ADM2_EN,a7,a8,a10_child,a10_adult,a10_elder,a11,a14,a9_male,a9_female,g5,g6,g8,g9,g19,g4,g7_i,g7_ii,g7_iii,g7_iv,g7_v,g7_vi,g7_vii,g7_viii,g7_ix,g7_x,g7_xi,g7_xii,g7_xiii,g7_xiv,a13,g44,g45_i,g45_ii,g45_iii,g45_iv,g45_v,g45_vi,g45_vii,b5,b6,b7,g15_i,g15_ii,g15_iii,g29,g25,g26,g28,g34_i,g34_ii,g34_iii,g34_iv,g34_v,g34_vi,g34_vii,g34_viii,g34_ix,g34_x,g34_xi,g32,g35,c3,g56,g57,c2,g95,g94,g96,g97,g99,g98,b1,b3,g46,g102,g37,g38,g39,b2,g41,a16,a17,g85,g89,g68,g66,g64,g65_i,g65_ii,g65_iii,g65_iv,g65_v,g65_vi,g65_vii,g65_viii,g65_ix,g65_x,g54,g54_i,g54_ii,g54_iii,g54_v,g54_vi,c9,g61,g62_i,g62_ii,g63,g51,g51b,a12,g53a,g53b_i,g53b_ii,g53b_iii,g53b_iv,g53b_v,g53b_vi,g53b_vii,g52,a28,g74,f7,f7b,d1_ii,d1_iii,d1_iv,d1_v,d1_vi,d1_vii,d1_viii,d1_i,d1_ix,d1_x,d1_xi,d1_xii,d1_xiii,d2_ii,d2_iii,d2_iv,d2_v,d2_vi,d2_i,d2_vii,d2_viii,d2_ix,d2_x,d8_i,d8_ii,d8_iii,d8_iv,d8_v,d8_vi,d8_vii,d8_viii,d3_ii,d3_iii,d3_iv,d3_v,d3_i,d3_vi,d3_vii,d3_viii,d3_ix,d3_x,d3_xi,d3_xii,d3_xiii,d3_xiv,d3_xv,d4,d5_i,d5_ii,d5_iii,d5_iv,d5_v,d5_vi,d5_vii,d5_viii,d5_ix,d5_x,d6,d7,d10,d12,d15,indicative,a22,a24,a25,a29,a26_i,a26_ii,a26_iii,a26_iv,a26_xv,a26_v,a26_vi,a26_vii,a26_viii,a26_ix,a26_x,a26_xi,a26_xii,a26_xiii,a26_xiv,a15_i,a15_ii,a15_iii,a15_iv,a15_v,a15_xiv,a15_vi,a15_vii,a15_viii,a15_ix,a15_x,a15_xiii,a15_xii,a15_xi,a15_xv,a15_xvi,a15_xvii,a15_xviii,a15_xix,a15_xx,a15_xxi,a15_xxii,a15_xxiii,a15_xxiv,g67,g73,g73
Al-Anbar,Al-Falluja,5.574257426,4.693069307,41.2216579,56.0315674,2.7467747,8.9108911,7.9207921,52.3473062,47.6526938,85.7142857,87.3015873,96.039604,9.9009901,4.7619048,12.6984127,77.7777778,0,22.2222222,0,0,0,0,0,0,0,0,0,0,0,4.838709677,0,100,0,0,0,0,0,0,44.5544554,13.8613861,13.8613861,100,0,0,100,100,76.2376238,100,26.9230769,0,0,0,0,0,0,1.9230769,11.5384615,1.9230769,0,62.3762376,31.6831683,3.960396,0,0,10.8910891,100,98.019802,4.950495,100,87.1287129,100,46.5346535,100,37.2340426,97,59.4059406,65.3465347,0,0,94.0594059,1.980198,69.3069307,62.3762376,32.6732673,7.9207921,6.9306931,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.980198,0.990099,0,0,0.990099,0,75,0,0,0,0,46.5346535,28.7128713,0,0,0,0,0,0,0,0,0,21.7821782,100,7.9207921,11.9047619,100,38.6138614,48.5148515,73.2673267,34.6534653,31.6831683,12.8712871,14.8514851,26.7326733,3.960396,1.980198,0,0,0,85.7142857,71.4285714,42.8571429,42.8571429,14.2857143,0,14.2857143,7.1428571,0,0,85.0574713,63.2183908,12.6436782,39.0804598,21.8390805,4.5977011,0,5.7471264,60.3960396,57.4257426,69.3069307,37.6237624,4.950495,7.9207921,7.9207921,3.960396,0,6.9306931,0,0,0,0,0,2.970297,0,100,0,0,0,33.3333333,0,0,0,0,100,0,0,100,42.5742574,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al-Anbar,Al-Kaim,5.666666667,5.430555556,36.5216308,58.5307281,4.9476411,8.4507042,5.6338028,51.1936987,48.8063013,90.9090909,90.9090909,100,19.4444444,6.8181818,9.0909091,25,25,25,25,0,0,0,0,0,25,0,0,0,25,13.63636364,0,66.6666667,0,16.6666667,16.6666667,16.6666667,41.6666667,8.3333333,43.0555556,16.6666667,9.7222222,100,0,0,97.2222222,100,84.7222222,100,45.0980392,0,0,0,0,11.7647059,0,27.4509804,3.9215686,1.9607843,0,79.1666667,44.4444444,5.5555556,2.7777778,1.3888889,12.5,97.2222222,100,37.5,100,79.1666667,100,40.2777778,0,59.4202899,88.8888889,58.3333333,45.8333333,13.8888889,1.3888889,88.8888889,4.1666667,59.7222222,61.1111111,30.5555556,6.9444444,19.4444444,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,1.4285714,2.8571429,11.1111111,7.1428571,0,75,0,0,0,0,40.2777778,27.7777778,0,0,0,0,0,0,0,0,0,31.9444444,97.2222222,12.5,3.3333333,80,44.4444444,27.7777778,58.3333333,38.8888889,45.8333333,6.9444444,23.6111111,27.7777778,0,5.5555556,0,0,0,77.2727273,40.9090909,31.8181818,63.6363636,27.2727273,13.6363636,4.5454545,31.8181818,0,0,84,64,32,42,24,12,0,0,76.3888889,58.3333333,80.5555556,26.3888889,5.5555556,13.8888889,12.5,1.3888889,1.3888889,0,0,0,0,0,1.3888889,20.8333333,26.6666667,100,0,0,0,6.6666667,0,0,0,0,100,0,0,80,37.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al-Anbar,Al-Ramadi,5.031578947,4.729166667,37.2160218,59.0414187,3.7425595,7.3684211,5.2631579,50.484871,49.515129,95.1612903,95.1612903,100,15.625,3.2258065,4.8387097,100,33.3333333,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,27.7777778,44.4444444,22.2222222,11.1111111,0,0,33.3333333,0,39.5833333,8.3333333,12.5,100,0,0,72.9166667,97.9166667,61.4583333,97.9166667,30.5555556,0,0,2.7777778,0,0,0,2.7777778,11.1111111,0,0,54.1666667,41.6666667,9.375,0,0,11.4583333,100,96.875,21.875,98.9583333,84.375,98.9583333,47.3684211,60,29.8701299,94.7916667,69.7916667,61.4583333,0,0,95.8333333,0,50,82.2916667,40.625,3.125,29.1666667,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.2553191,0,0,3.1578947,0,0,33.3333333,0,0,0,0,29.1666667,12.5,1.0416667,0,0,0,0,0,0,0,0,26.0416667,100,7.2916667,15.1515152,57.1428571,27.0833333,45.8333333,77.0833333,40.625,42.7083333,15.625,12.5,22.9166667,2.0833333,1.0416667,0,0,0,90,60,30,60,20,0,0,10,0,0,55.8139535,67.4418605,17.4418605,41.8604651,58.1395349,13.9534884,0,4.6511628,40.625,62.5,67.7083333,54.1666667,13.5416667,14.5833333,9.375,3.125,0,7.2916667,0,0,0,0,0,14.5833333,0,100,0,0,0,14.2857143,14.2857143,0,0,0,100,0,0,57.1428571,22.9166667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al-Anbar,Al-Rutba,5.474576271,5.118644068,39.3112725,58.7046005,1.984127,7.0175439,7.0175439,50.3188055,49.6811945,95.3488372,95.3488372,88.1355932,3.3898305,2.3255814,4.6511628,50,0,0,0,50,0,0,0,0,0,0,0,0,0,2.777777778,0,100,14.2857143,14.2857143,0,57.1428571,14.2857143,0,49.1525424,8.4745763,8.4745763,88.1355932,11.8644068,0,100,100,79.6610169,100,35.7142857,2.3809524,0,0,0,0,0,19.047619,11.9047619,2.3809524,0,69.4915254,30.5084746,3.3898305,0,0,13.559322,86.440678,100,40.6779661,94.9152542,89.8305085,98.3050847,57.6271186,50,50.9433962,98.3050847,49.1525424,47.4576271,8.4745763,1.6949153,98.3050847,6.779661,57.6271186,61.0169492,16.9491525,3.3898305,18.6440678,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.0175439,0,3.4482759,3.4482759,5.0847458,0,50,0,0,0,1.7241379,59.3220339,49.1525424,0,0,0,0,0,0,0,0,0,27.1186441,98.3050847,18.6440678,0,50,25.4237288,20.3389831,57.6271186,35.5932203,44.0677966,1.6949153,38.9830508,27.1186441,3.3898305,1.6949153,1.6949153,0,5.0847458,78.9473684,36.8421053,52.6315789,31.5789474,5.2631579,10.5263158,5.2631579,15.7894737,0,0,77.5,75,17.5,47.5,10,5,0,5,49.1525424,57.6271186,66.1016949,35.5932203,3.3898305,13.559322,8.4745763,1.6949153,0,8.4745763,0,0,0,0,1.6949153,16.9491525,40,70,0,0,0,0,10,20,0,0,90,10,0,50,42.3728814,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al-Anbar,Ana,6.464788732,5.901408451,38.8437775,57.8186758,3.3375466,4.3478261,4.3478261,48.7322967,51.2677033,91.4893617,91.4893617,98.5915493,9.8591549,8.5106383,8.5106383,25,0,25,0,25,0,0,0,0,0,0,25,0,0,12.5,37.5,90,0,0,10,50,0,0,43.6619718,2.8169014,11.2676056,94.3661972,5.6338028,0,87.3239437,94.3661972,60.5633803,94.3661972,45.2380952,0,0,0,0,14.2857143,0,28.5714286,4.7619048,0,0,57.7464789,28.1690141,5.6338028,0,0,9.8591549,87.3239437,98.5915493,40.8450704,90.1408451,90.1408451,98.5915493,50.7042254,#N/A,38.0952381,91.5492958,60.5633803,54.9295775,9.8591549,0,97.1830986,1.4084507,69.0140845,54.9295775,7.0422535,1.4084507,26.7605634,1.4084507,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15.942029,2.8571429,8.4507042,1.4285714,7.1428571,0,50,0,0,0,0,56.3380282,56.3380282,0,0,0,0,0,0,0,0,0,16.9014085,98.5915493,23.943662,2.6315789,0,28.1690141,26.7605634,50.7042254,29.5774648,16.9014085,7.0422535,32.3943662,28.1690141,5.6338028,4.2253521,1.4084507,0,14.084507,45.4545455,54.5454545,54.5454545,54.5454545,0,18.1818182,0,18.1818182,0,0,91.6666667,73.3333333,38.3333333,20,6.6666667,6.6666667,1.6666667,5,38.028169,40.8450704,66.1971831,46.4788732,5.6338028,32.3943662,18.3098592,0,1.4084507,11.2676056,1.4084507,0,0,0,0,5.6338028,0,75,0,0,0,0,0,25,0,0,100,0,0,0,21.1267606,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al-Anbar,Haditha,5.027027027,4.621621622,35.5777206,61.3481338,3.0741456,5.4054054,1.8018018,52.9000429,47.0999571,96.6101695,98.3050847,100,10.8108108,5.0847458,1.6949153,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.918032787,7.6923077,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,47.7477477,7.2072072,14.4144144,100,0,0,78.3783784,100,57.6576577,100,25.8064516,0,0,0,0,0,0,4.8387097,9.6774194,3.2258065,0,60.3603604,40.5405405,3.6036036,0,0,7.2072072,99.0990991,97.2972973,19.8198198,100,84.6846847,98.1981982,39.6396396,#N/A,18.75,98.1981982,54.0540541,55.8558559,0,0,100,0,68.4684685,70.2702703,30.6306306,3.6697248,19.8198198,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9009009,0.9009009,0,0,0,0,50,0,0,0,0,42.3423423,25.2252252,0.9009009,0,0,0,0,0,0,0,0,18.9189189,100,3.6036036,3.8461538,#N/A,34.2342342,30.6306306,71.1711712,37.8378378,45.9459459,11.7117117,18.018018,24.3243243,3.6036036,0.9009009,0,0,0,92.3076923,84.6153846,15.3846154,46.1538462,15.3846154,0,0,15.3846154,0,0,66.3265306,59.1836735,15.3061224,37.755102,37.755102,15.3061224,0,5.1020408,66.6666667,45.045045,58.5585586,36.9369369,12.6126126,7.2072072,7.2072072,4.5045045,0.9009009,13.5135135,0,0,0,0,0,0.9009009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,37.8378378,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al-Anbar,Heet,5.210526316,4.833333333,40.4298942,56.9708995,2.5992063,5.2631579,5.2631579,49.5155423,50.4844577,97.4683544,97.4683544,93.75,8.3333333,1.2658228,1.2658228,0,0,0,0,0,0,0,100,0,100,0,100,0,0,4.47761194,10,66.6666667,0,0,66.6666667,33.3333333,0,0,67.7083333,5.2083333,31.25,100,0,0,59.375,89.5833333,44.7916667,89.5833333,29.6296296,0,0,0,0,0,0,7.4074074,14.8148148,3.7037037,0,40.625,27.0833333,4.1666667,0,0,6.25,100,98.9583333,9.375,100,90.625,100,52.0833333,80,22.4719101,100,57.2916667,72.9166667,0,0,80.2083333,0,65.625,85.4166667,43.75,0,19.7916667,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,100,0,0,0,0,45.8333333,31.25,2.0833333,0,0,0,0,0,0,0,0,13.5416667,100,9.375,0,#N/A,53.125,56.25,77.0833333,25,17.7083333,4.1666667,16.6666667,28.125,3.125,0,0,0,0,100,50,21.4285714,50,0,0,0,21.4285714,0,0,70.7317073,79.2682927,23.1707317,19.5121951,36.5853659,8.5365854,0,4.8780488,50,57.2916667,62.5,50,10.4166667,8.3333333,7.2916667,4.1666667,0,20.8333333,0,0,0,0,0,1.0416667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46.875,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baghdad,Al-Kadhmiyah,6.888888889,6.308641975,48.0007818,48.5375598,3.4616584,12.345679,12.345679,50.7276126,49.2723874,80,83.0769231,93.8271605,24.691358,6.1538462,16.9230769,15.3846154,0,46.1538462,0,23.0769231,0,0,0,0,0,0,7.6923077,0,7.6923077,12.5,26.6666667,78.5714286,0,7.1428571,21.4285714,64.2857143,28.5714286,0,46.9135802,7.4074074,9.8765432,98.7654321,1.2345679,0,69.1358025,86.4197531,62.962963,86.4197531,64.516129,1.6129032,0,0,0,8.0645161,1.6129032,37.0967742,24.1935484,1.6129032,0,80.2469136,45.6790123,9.8765432,3.7037037,3.7037037,9.8765432,92.5925926,96.2962963,46.9135802,87.654321,93.8271605,93.8271605,47.5,90,31.3432836,91.25,62.962963,55.5555556,12.345679,1.2345679,87.654321,6.1728395,56.7901235,50.617284,7.4074074,2.4691358,54.3209877,8.6419753,0,14.2857143,0,28.5714286,42.8571429,0,0,0,14.2857143,0,27.8481013,1.25,8.6419753,1.2345679,20,0,75,0,0,0,0,67.9012346,66.6666667,0,0,0,0,0,0,0,0,0,19.7530864,100,4.9382716,0,50,13.5802469,11.1111111,72.8395062,33.3333333,24.691358,4.9382716,35.8024691,55.5555556,4.9382716,9.8765432,1.2345679,0,4.9382716,75,0,0,50,0,25,0,25,0,0,82.1917808,60.2739726,46.5753425,9.5890411,10.9589041,20.5479452,0,2.739726,61.7283951,37.037037,59.2592593,46.9135802,13.5802469,13.5802469,14.8148148,2.4691358,0,2.4691358,0,0,0,0,1.2345679,2.4691358,50,0,0,0,0,0,50,0,0,0,50,50,0,50,9.8765432,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baghdad,Al-Mahmoudiya,5.788732394,5.676056338,43.5887548,53.195232,3.2160133,2.8169014,1.4084507,53.3002561,46.6997439,82.3529412,82.3529412,97.1830986,16.9014085,5.8823529,17.6470588,22.2222222,11.1111111,22.2222222,0,11.1111111,0,0,0,0,0,22.2222222,11.1111111,0,0,13.15789474,33.3333333,45.4545455,36.3636364,0,9.0909091,54.5454545,27.2727273,0,43.6619718,1.4084507,7.0422535,97.1830986,2.8169014,0,47.8873239,76.056338,39.4366197,76.056338,63.7931034,1.7241379,0,0,3.4482759,12.0689655,1.7241379,32.7586207,24.137931,1.7241379,0,70.4225352,40.8450704,2.8169014,1.4084507,2.8169014,4.2253521,84.5070423,97.1830986,46.4788732,84.5070423,94.3661972,91.5492958,54.9295775,100,41.6666667,97.1830986,47.8873239,38.028169,11.2676056,0,91.5492958,4.2253521,66.1971831,40.8450704,2.8169014,1.4285714,29.5774648,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.8571429,11.4285714,15.4929577,0,19.7183099,0,100,1.4084507,1.4084507,0,0,77.4647887,77.4647887,0,0,0,0,0,0,0,0,0,22.5352113,100,11.2676056,14.2857143,0,2.8169014,12.6760563,66.1971831,35.2112676,33.8028169,0,43.6619718,47.8873239,2.8169014,4.2253521,0,0,11.2676056,88.8888889,22.2222222,11.1111111,33.3333333,0,0,0,0,0,0,85.483871,66.1290323,51.6129032,4.8387097,8.0645161,20.9677419,0,0,47.8873239,39.4366197,59.1549296,46.4788732,4.2253521,22.5352113,11.2676056,4.2253521,0,4.2253521,0,0,0,0,1.4084507,1.4084507,0,0,100,0,0,0,0,0,0,0,100,0,0,0,15.4929577,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diyala,Al-Khalis,5.073394495,5.04587156,37.7657358,57.1192212,5.115043,14.953271,9.3457944,52.1694055,47.8305945,88.2352941,88.2352941,97.2477064,4.587156,4.4117647,11.7647059,0,0,12.5,0,12.5,0,0,0,0,0,75,12.5,0,0,6.849315068,20.6896552,85,55,0,30,45,25,0,71.559633,15.5963303,5.5045872,92.6605505,7.3394495,0,54.1284404,77.9816514,33.9449541,77.9816514,29.4871795,6.4102564,0,0,1.2820513,10.2564103,0,25.6410256,12.8205128,1.2820513,0,6.4220183,52.293578,2.7522936,3.6697248,12.8440367,7.3394495,98.1651376,95.412844,78.8990826,100,92.6605505,94.4954128,77.0642202,90,77.6315789,92.6605505,44.0366972,48.6238532,36.6972477,0,91.7431193,1.8348624,37.6146789,98.1651376,14.6788991,7.3394495,20.1834862,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.952381,0,0.9433962,0,0,0,66.6666667,0.9174312,0.9174312,0,3.6697248,4.587156,4.587156,0,0,0,0,0,0,0,0,0,22.9357798,90.8256881,36.6972477,0,100,37.6146789,31.1926606,34.8623853,23.853211,44.9541284,4.587156,17.4311927,47.706422,13.7614679,6.4220183,0.9174312,0,0,0,0,0,16.6666667,66.6666667,100,0,0,0,0,62.6262626,60.6060606,23.2323232,33.3333333,46.4646465,3.030303,5.0505051,14.1414141,39.4495413,44.0366972,45.8715596,49.5412844,49.5412844,22.0183486,0,0.9174312,0,1.8348624,1.8348624,3.6697248,0.9174312,0,0,2.7522936,0,100,0,0,0,0,0,0,0,0,100,0,0,100,53.2110092,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
